COMPOSER,COLLECTION,MOVEMENT,MEASURE,FIGURE,KEY
"Bach, Johann Sebastian",Chorales,002,1-2,I6-IV-V6/V-i,A major-E major
"Bach, Johann Sebastian",Chorales,005,14-15,V7-I-iii-vi,D minor-G major
"Bach, Johann Sebastian",Chorales,007,13-14,V2/IV-IV6-ii65-V,E major
"Bach, Johann Sebastian",Chorales,007,14-16,V7-I-vi-ii,E major
"Bach, Johann Sebastian",Chorales,007,22-24,V-I-vi-ii,A major
"Bach, Johann Sebastian",Chorales,007,23-25,vi-ii-IV-viiø7,A major-D major
"Bach, Johann Sebastian",Chorales,007,28-30,V7-I-vi-ii,E major
"Bach, Johann Sebastian",Chorales,011,23-25,V7-I-V65-i,C major-D minor
"Bach, Johann Sebastian",Chorales,012,8-9,V7-I-vi-V65/V,G major
"Bach, Johann Sebastian",Chorales,012,9-10,V65/V-V-V6/V-V,G major-A minor
"Bach, Johann Sebastian",Chorales,014,8-9,I-IV6-ii65-V,D major
"Bach, Johann Sebastian",Chorales,014,9-10,V7-I-vi-ii,D major
"Bach, Johann Sebastian",Chorales,015,1-2,V65-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,015,7-8,V65-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,017,10-11,I-IV6-ii65-V,D major
"Bach, Johann Sebastian",Chorales,017,11-13,V7-I-vi-ii,D major
"Bach, Johann Sebastian",Chorales,021,11-12,V65-I-V65-i,G major-A minor
"Bach, Johann Sebastian",Chorales,023,2-3,V6-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,023,7-8,V6-I-vi-V6/V,C major
"Bach, Johann Sebastian",Chorales,023,10-11,V7/V-V-V6-i,C major-A minor
"Bach, Johann Sebastian",Chorales,023,10-11,V6-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,025,5-6,V6-I-vi-ii65,Ab major
"Bach, Johann Sebastian",Chorales,025,11-12,i-iv6-iiø65-V,F minor
"Bach, Johann Sebastian",Chorales,028,7-7,V43/V-v-III6-viø7,B minor
"Bach, Johann Sebastian",Chorales,031,3-4,i-iv6-iiø65-V,A minor
"Bach, Johann Sebastian",Chorales,032,11-11,V-I-vi-ii65,A major
"Bach, Johann Sebastian",Chorales,033,3-3,V65-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,035,7-7,V6/4-I6-vi-ii65,A major
"Bach, Johann Sebastian",Chorales,036,9-10,V7/IV-IV-ii-V,A major
"Bach, Johann Sebastian",Chorales,037,5-6,I-IV6-ii65-V,G major
"Bach, Johann Sebastian",Chorales,039,5-6,V65-i-VI-iiø65,E minor
"Bach, Johann Sebastian",Chorales,039,9-10,V65-I-vi-ii65,G major
"Bach, Johann Sebastian",Chorales,039,11-12,V6-i-VI-iiø65,E minor
"Bach, Johann Sebastian",Chorales,043,3-4,V6-I-ii6-V2,E major-B major
"Bach, Johann Sebastian",Chorales,046,6-7,V7-I-vi-ii65,A major
"Bach, Johann Sebastian",Chorales,047,10-11,V7-I-V6-i,F major-G minor
"Bach, Johann Sebastian",Chorales,048,5-6,V-i-VI-iiø65,D minor
"Bach, Johann Sebastian",Chorales,048,7-8,V-I-vi-ii65,C major
"Bach, Johann Sebastian",Chorales,050,7-8,V6-I-V65-i,F major-G minor
"Bach, Johann Sebastian",Chorales,052,10-11,I-IV-ii-V6,E major
"Bach, Johann Sebastian",Chorales,052,12-13,V7-I-vi-ii,E major
"Bach, Johann Sebastian",Chorales,052,12-13,vi-ii-IV6-viiø7,E major-A major
"Bach, Johann Sebastian",Chorales,053,9-10,V6-i-VI6-viiø7,G minor-Bb major
"Bach, Johann Sebastian",Chorales,055,7-8,V2-I6-vi-IV6,D major-B minor
"Bach, Johann Sebastian",Chorales,055,8-9,vi-IV6-ii-V65,D major-B minor
"Bach, Johann Sebastian",Chorales,057,7-8,i-iv6-iiø65-V,A minor
"Bach, Johann Sebastian",Chorales,058,4-5,V7-i-I-IV,F# minor-D major
"Bach, Johann Sebastian",Chorales,060,10-11,I6-IV-V65/V-V,D major
"Bach, Johann Sebastian",Chorales,063,5-7,ii65-V-V6/vi-vi,A major
"Bach, Johann Sebastian",Chorales,063,7-8,V6-I-V65-i,A major-B minor
"Bach, Johann Sebastian",Chorales,063,10-11,V65-I-vi-ii7,E major
"Bach, Johann Sebastian",Chorales,065,3-4,I-IV6-ii65-V,G major
"Bach, Johann Sebastian",Chorales,065,4-5,I-IV-V65-I,G major-D major
"Bach, Johann Sebastian",Chorales,065,7-8,I-IV6-ii65-V,D major
"Bach, Johann Sebastian",Chorales,069,17-19,V7-I-vi-vi,D major-G major
"Bach, Johann Sebastian",Chorales,069,23-24,V65-I-vi-ii65,G major
"Bach, Johann Sebastian",Chorales,070,1-1,V6-I6-vi6-ii6,C major
"Bach, Johann Sebastian",Chorales,071,2-2,i-iv6-iio6/4-V,E minor
"Bach, Johann Sebastian",Chorales,071,7-8,i-iv6-iiø65-V,E minor
"Bach, Johann Sebastian",Chorales,072,3-4,V-I-vi-ii65,Bb major
"Bach, Johann Sebastian",Chorales,076,1-1,V6-I-vi6-V,G major-D major
"Bach, Johann Sebastian",Chorales,081,3-4,iv-viio7-V6-i,D minor
"Bach, Johann Sebastian",Chorales,081,7-8,V-V7/IV-V65/iv-iv,F major-D minor
"Bach, Johann Sebastian",Chorales,083,12-13,V7-I-vi-ii,E minor-E major
"Bach, Johann Sebastian",Chorales,084,5-5,V7/vi-vi-IV-viio6,A major
"Bach, Johann Sebastian",Chorales,085,4-5,I6-IV-ii-V7,E major
"Bach, Johann Sebastian",Chorales,087,8-9,V65-I-vi-ii65,Eb major
"Bach, Johann Sebastian",Chorales,088,2-3,V6-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,088,7-8,V6/III-III-ii-V6,A minor-G major
"Bach, Johann Sebastian",Chorales,088,10-11,V7-I-V6-i,G major-A minor
"Bach, Johann Sebastian",Chorales,088,10-11,V6-i-VI-iiø65,A minor
"Bach, Johann Sebastian",Chorales,092,10-10,i-iv6-iiø65-V,B minor
"Bach, Johann Sebastian",Chorales,093,8-10,V-i-VI-viio6,G minor-Bb major
"Bach, Johann Sebastian",Chorales,094,7-8,V7/IV-IV-ii-V7,Eb major
"Bach, Johann Sebastian",Chorales,095,3-4,I6-IV6-ii65-V,Bb major
"Bach, Johann Sebastian",Chorales,095,11-12,I6-IV6-ii65-V,Bb major
"Bach, Johann Sebastian",Chorales,097,7-8,V-i-IV-viio6,F# minor-A major
"Bach, Johann Sebastian",Chorales,097,8-9,IV-viio6-V65-I,A major
"Bach, Johann Sebastian",Chorales,103,7-8,V6-I-V65/ii-ii,Bb major
"Bach, Johann Sebastian",Chorales,104,6-7,V65-I-vi-ii65,D major
"Bach, Johann Sebastian",Chorales,107,4-5,viiø43-iii-I-IV,Eb major
"Bach, Johann Sebastian",Chorales,109,6-7,IV6-viio-V-i,G minor
"Bach, Johann Sebastian",Chorales,110,10-11,V7-I-V6/IV-iv,Eb major-C minor
"Bach, Johann Sebastian",Chorales,112,6-7,V6-I-vi-ii65,D major
"Bach, Johann Sebastian",Chorales,113,11-12,V-I-vi-iv6,Db major-Bb minor
"Bach, Johann Sebastian",Chorales,114,3-3,iv6-iv6-iiø65-V,E minor-A minor
"Bach, Johann Sebastian",Chorales,116,5-6,V6/vi-vi-IVmaj7-viio6/4,D major
"Bach, Johann Sebastian",Chorales,116,13-14,I-IV6-ii65-V,A major
"Bach, Johann Sebastian",Chorales,116,27-28,I-IV6-ii65-V,A major
"Bach, Johann Sebastian",Chorales,117,7-8,V6-I-V65/ii-ii,Ab major
"Bach, Johann Sebastian",Chorales,118,4-5,V/V-V-V65/vi-vi,Bb major
"Bach, Johann Sebastian",Chorales,119,14-15,V-i-VI-iio6,F minor
"Bach, Johann Sebastian",Chorales,121,5-6,i-iv65-iiø65-V,B minor
"Bach, Johann Sebastian",Chorales,122,5-6,I-IV6-ii65-V,Eb major
"Bach, Johann Sebastian",Chorales,123,7-8,V6/III-III-ii-V6,A minor-G major
"Bach, Johann Sebastian",Chorales,123,8-9,V7-I-V6-i,G major-A minor
"Bach, Johann Sebastian",Chorales,124,10-11,V7-I-vi-ii65,G major
"Bach, Johann Sebastian",Chorales,128,3-4,V-Imaj65-vi-V6,G major-D major
"Bach, Johann Sebastian",Chorales,128,9-10,I-IVmaj65-ii-V6,D major
"Bach, Johann Sebastian",Chorales,129,10-11,i6-iv6-iiø65-V,E minor
"Bach, Johann Sebastian",Chorales,130,3-4,V65-I-vi7-ii65,G major
"Bach, Johann Sebastian",Chorales,132,24-24,V65-I-vi-ii65,G major
"Bach, Johann Sebastian",Chorales,132,30-31,V7-I-vi-ii6,G major
"Bach, Johann Sebastian",Chorales,132,35-36,V43-I6-vi7-ii7,D major
"Bach, Johann Sebastian",Chorales,132,37-37,V65-I-vi-ii65,G major
"Bach, Johann Sebastian",Chorales,133,27-27,I-viio6-V-I6,F major-C major
"Bach, Johann Sebastian",Chorales,133,28-29,V65-i-VI-iiø65,D minor
"Bach, Johann Sebastian",Chorales,134,8-9,V6-I-V6/ii-ii,F major
"Bach, Johann Sebastian",Chorales,142,9-10,V7/VII-VII-v-IV65/v,D minor
"Bach, Johann Sebastian",Chorales,142,13-14,V65-I-V65-i,C major-D minor
