key	distribution	start offset	end offset	quarter length	start measure	end measure	measure length
d minor	[0.0, 0.434, 0.642, 0.0, 0.585, 0.623, 0.0, 0.283, 0.151, 1.0, 0.208, 0.151]	0.0	14.0	14.0	0	10	10
F major	[1.0, 0.0, 0.524, 0.0, 0.571, 0.429, 0.0, 0.19, 0.0, 0.286, 0.476, 0.0]	14.0	18.5	1.5	10	13	3
g minor	[0.1, 0.0, 0.15, 0.0, 0.05, 0.1, 0.1, 0.4, 0.0, 0.1, 1.0, 0.0]	18.5	21.5	1.5	13	15	2
F major	[1.0, 0.0, 0.067, 0.0, 0.4, 0.267, 0.0, 0.133, 0.0, 0.133, 0.067, 0.0]	21.5	24.5	1.5	15	17	2
g minor	[0.154, 0.205, 0.897, 0.077, 0.205, 0.0, 0.487, 0.795, 0.0, 0.769, 1.0, 0.0]	24.5	38.0	1.5	17	26	9
B- major	[0.632, 0.0, 0.316, 0.526, 0.0, 0.737, 0.0, 0.368, 0.0, 1.0, 0.579, 0.0]	38.0	42.5	1.5	26	29	3
c minor	[0.333, 0.0, 0.25, 0.5, 0.333, 0.167, 0.333, 1.0, 0.0, 0.083, 0.083, 0.167]	42.5	45.5	0.5	29	31	2
B- major	[0.353, 0.0, 0.118, 0.059, 0.0, 1.0, 0.0, 0.0, 0.0, 0.118, 0.235, 0.0]	45.5	48.5	1.5	31	33	2
a minor	[0.0, 0.222, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.222, 0.333, 0.0, 0.667]	48.5	51.0	1.5	33	34	1
d minor	[0.0, 0.434, 0.642, 0.0, 0.604, 0.623, 0.0, 0.283, 0.151, 1.0, 0.226, 0.151]	51.0	65.0	0.5	34	44	10
F major	[1.0, 0.0, 0.478, 0.0, 0.522, 0.391, 0.0, 0.174, 0.0, 0.261, 0.435, 0.0]	65.0	69.5	1.5	44	47	3
g minor	[0.1, 0.0, 0.15, 0.0, 0.05, 0.1, 0.1, 0.4, 0.0, 0.1, 1.0, 0.0]	69.5	72.5	1.5	47	49	2
F major	[1.0, 0.0, 0.067, 0.0, 0.4, 0.267, 0.0, 0.133, 0.0, 0.133, 0.067, 0.0]	72.5	75.5	1.5	49	51	2
g minor	[0.154, 0.205, 0.897, 0.077, 0.205, 0.0, 0.487, 0.795, 0.0, 0.769, 1.0, 0.0]	75.5	89.0	1.5	51	60	9
B- major	[0.286, 0.0, 0.286, 0.476, 0.0, 0.667, 0.0, 0.333, 0.0, 1.0, 0.81, 0.0]	89.0	93.5	1.5	60	63	3
c minor	[0.333, 0.0, 0.25, 0.5, 0.333, 0.167, 0.333, 1.0, 0.0, 0.083, 0.083, 0.167]	93.5	96.5	0.5	63	65	2
B- major	[0.353, 0.0, 0.118, 0.059, 0.0, 1.0, 0.0, 0.0, 0.0, 0.118, 0.235, 0.0]	96.5	99.5	1.5	65	67	2
a minor	[0.0, 0.222, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.222, 0.333, 0.0, 0.667]	99.5	102.0	1.5	67	68	1
d minor	[0.0, 0.5, 0.444, 0.0, 0.667, 0.611, 0.0, 0.389, 0.222, 1.0, 0.389, 0.222]	102.0	108.0	0.5	68	72	4
g minor	[0.203, 0.186, 0.983, 0.119, 0.186, 0.051, 1.0, 0.39, 0.051, 0.508, 0.305, 0.051]	108.0	126.0	0.5	72	84	12
